station_id,hour_bucket,session_count,total_kwh,total_revenue_inr,avg_duration_hours,hour,day_of_week,is_weekend
2-39-123-23,2018-08-02 19:00:00,1,0.0,0.0,0.0,19,3,0
2-39-123-23,2018-08-03 16:00:00,1,0.0,0.0,0.0,16,4,0
2-39-123-23,2018-08-03 18:00:00,1,0.0,0.0,0.0,18,4,0
2-39-123-23,2018-08-04 01:00:00,1,0.0,0.0,0.0,1,5,1
2-39-123-23,2018-08-04 04:00:00,1,0.0,0.0,0.0,4,5,1
2-39-123-23,2018-08-05 00:00:00,1,0.0,0.0,0.0,0,6,1
2-39-123-23,2018-08-05 08:00:00,1,0.0,0.0,0.0,8,6,1
2-39-123-23,2018-08-05 18:00:00,1,0.0,0.0,0.0,18,6,1
2-39-123-23,2018-08-05 19:00:00,1,0.0,0.0,0.0,19,6,1
2-39-123-23,2018-08-05 23:00:00,1,0.0,0.0,0.0,23,6,1
2-39-123-23,2018-08-06 12:00:00,1,0.0,0.0,0.0,12,0,0
2-39-123-23,2018-08-06 14:00:00,1,0.0,0.0,0.0,14,0,0
2-39-123-23,2018-08-06 15:00:00,1,0.0,0.0,0.0,15,0,0
2-39-123-23,2018-08-07 01:00:00,1,0.0,0.0,0.0,1,1,0
2-39-123-23,2018-08-07 02:00:00,1,0.0,0.0,0.0,2,1,0
2-39-123-23,2018-08-07 16:00:00,1,0.0,0.0,0.0,16,1,0
2-39-123-23,2018-08-07 18:00:00,1,0.0,0.0,0.0,18,1,0
2-39-123-23,2018-08-08 03:00:00,1,0.0,0.0,0.0,3,2,0
2-39-123-23,2018-08-08 16:00:00,1,0.0,0.0,0.0,16,2,0
2-39-123-23,2018-08-09 00:00:00,1,0.0,0.0,0.0,0,3,0
2-39-123-23,2018-08-09 04:00:00,1,0.0,0.0,0.0,4,3,0
2-39-123-23,2018-08-09 17:00:00,1,0.0,0.0,0.0,17,3,0
2-39-123-23,2018-08-10 01:00:00,1,0.0,0.0,0.0,1,4,0
2-39-123-23,2018-08-10 03:00:00,1,0.0,0.0,0.0,3,4,0
2-39-123-23,2018-08-10 16:00:00,1,0.0,0.0,0.0,16,4,0
2-39-123-23,2018-08-10 21:00:00,1,0.0,0.0,0.0,21,4,0
2-39-123-23,2018-08-11 02:00:00,1,0.0,0.0,0.0,2,5,1
2-39-123-23,2018-08-13 00:00:00,1,0.0,0.0,0.0,0,0,0
2-39-123-23,2018-08-13 03:00:00,1,0.0,0.0,0.0,3,0,0
2-39-123-23,2018-08-13 16:00:00,1,0.0,0.0,0.0,16,0,0
2-39-123-23,2018-08-13 19:00:00,1,0.0,0.0,0.0,19,0,0
2-39-123-23,2018-08-14 16:00:00,1,0.0,0.0,0.0,16,1,0
2-39-123-23,2018-08-15 02:00:00,1,0.0,0.0,0.0,2,2,0
2-39-123-23,2018-08-15 15:00:00,1,0.0,0.0,0.0,15,2,0
2-39-123-23,2018-08-16 02:00:00,1,0.0,0.0,0.0,2,3,0
2-39-123-23,2018-08-16 13:00:00,1,0.0,0.0,0.0,13,3,0
2-39-123-23,2018-08-16 14:00:00,1,0.0,0.0,0.0,14,3,0
2-39-123-23,2018-08-16 16:00:00,1,0.0,0.0,0.0,16,3,0
2-39-123-23,2018-08-16 17:00:00,1,0.0,0.0,0.0,17,3,0
2-39-123-23,2018-08-16 19:00:00,1,0.0,0.0,0.0,19,3,0
2-39-123-23,2018-08-17 01:00:00,1,0.0,0.0,0.0,1,4,0
2-39-123-23,2018-08-17 15:00:00,1,0.0,0.0,0.0,15,4,0
2-39-123-23,2018-08-18 16:00:00,1,0.0,0.0,0.0,16,5,1
2-39-123-23,2018-08-18 19:00:00,1,0.0,0.0,0.0,19,5,1
2-39-123-23,2018-08-18 23:00:00,1,0.0,0.0,0.0,23,5,1
2-39-123-23,2018-08-19 14:00:00,1,0.0,0.0,0.0,14,6,1
2-39-123-23,2018-08-20 03:00:00,1,0.0,0.0,0.0,3,0,0
2-39-123-23,2018-08-20 15:00:00,1,0.0,0.0,0.0,15,0,0
2-39-123-23,2018-08-21 01:00:00,1,0.0,0.0,0.0,1,1,0
2-39-123-23,2018-08-21 15:00:00,1,0.0,0.0,0.0,15,1,0
2-39-123-23,2018-08-22 00:00:00,1,0.0,0.0,0.0,0,2,0
2-39-123-23,2018-08-22 03:00:00,1,0.0,0.0,0.0,3,2,0
2-39-123-23,2018-08-22 04:00:00,1,0.0,0.0,0.0,4,2,0
2-39-123-23,2018-08-22 15:00:00,1,0.0,0.0,0.0,15,2,0
2-39-123-23,2018-08-23 02:00:00,1,0.0,0.0,0.0,2,3,0
2-39-123-23,2018-08-23 14:00:00,1,0.0,0.0,0.0,14,3,0
2-39-123-23,2018-08-24 00:00:00,1,0.0,0.0,0.0,0,4,0
2-39-123-23,2018-08-24 01:00:00,1,0.0,0.0,0.0,1,4,0
2-39-123-23,2018-08-24 15:00:00,1,0.0,0.0,0.0,15,4,0
2-39-123-23,2018-08-24 21:00:00,1,0.0,0.0,0.0,21,4,0
2-39-123-23,2018-08-25 00:00:00,1,0.0,0.0,0.0,0,5,1
2-39-123-23,2018-08-25 15:00:00,1,0.0,0.0,0.0,15,5,1
2-39-123-23,2018-08-26 20:00:00,1,0.0,0.0,0.0,20,6,1
2-39-123-23,2018-08-26 22:00:00,1,0.0,0.0,0.0,22,6,1
2-39-123-23,2018-08-26 23:00:00,1,0.0,0.0,0.0,23,6,1
2-39-123-23,2018-08-27 02:00:00,1,0.0,0.0,0.0,2,0,0
2-39-123-23,2018-08-27 15:00:00,1,0.0,0.0,0.0,15,0,0
2-39-123-23,2018-08-28 02:00:00,1,0.0,0.0,0.0,2,1,0
2-39-123-23,2018-08-28 14:00:00,1,0.0,0.0,0.0,14,1,0
2-39-123-23,2018-08-29 00:00:00,1,0.0,0.0,0.0,0,2,0
2-39-123-23,2018-08-29 08:00:00,1,0.0,0.0,0.0,8,2,0
2-39-123-23,2018-08-29 15:00:00,1,0.0,0.0,0.0,15,2,0
2-39-123-23,2018-08-30 03:00:00,1,0.0,0.0,0.0,3,3,0
2-39-123-23,2018-08-30 18:00:00,1,0.0,0.0,0.0,18,3,0
2-39-123-23,2018-08-31 15:00:00,1,0.0,0.0,0.0,15,4,0
2-39-123-23,2018-08-31 23:00:00,1,0.0,0.0,0.0,23,4,0
2-39-123-23,2018-09-01 00:00:00,1,0.0,0.0,0.0,0,5,1
2-39-123-23,2018-09-01 01:00:00,1,0.0,0.0,0.0,1,5,1
2-39-123-23,2018-09-01 17:00:00,1,0.0,0.0,0.0,17,5,1
2-39-123-23,2018-09-01 23:00:00,1,0.0,0.0,0.0,23,5,1
2-39-123-23,2018-09-02 20:00:00,1,0.0,0.0,0.0,20,6,1
2-39-123-23,2018-09-04 04:00:00,1,0.0,0.0,0.0,4,1,0
2-39-123-23,2018-09-04 15:00:00,1,0.0,0.0,0.0,15,1,0
2-39-123-23,2018-09-04 22:00:00,1,0.0,0.0,0.0,22,1,0
2-39-123-23,2018-09-04 23:00:00,1,0.0,0.0,0.0,23,1,0
2-39-123-23,2018-09-05 16:00:00,1,0.0,0.0,0.0,16,2,0
2-39-123-23,2018-09-05 20:00:00,1,0.0,0.0,0.0,20,2,0
2-39-123-23,2018-09-06 02:00:00,1,0.0,0.0,0.0,2,3,0
2-39-123-23,2018-09-06 15:00:00,1,0.0,0.0,0.0,15,3,0
2-39-123-23,2018-09-06 17:00:00,1,0.0,0.0,0.0,17,3,0
2-39-123-23,2018-09-07 00:00:00,1,0.0,0.0,0.0,0,4,0
2-39-123-23,2018-09-07 13:00:00,1,0.0,0.0,0.0,13,4,0
2-39-123-23,2018-09-07 15:00:00,1,0.0,0.0,0.0,15,4,0
2-39-123-23,2018-09-07 16:00:00,1,0.0,0.0,0.0,16,4,0
2-39-123-23,2018-09-08 01:00:00,1,0.0,0.0,0.0,1,5,1
2-39-123-23,2018-09-08 02:00:00,1,0.0,0.0,0.0,2,5,1
2-39-123-23,2018-09-08 22:00:00,1,0.0,0.0,0.0,22,5,1
2-39-123-23,2018-09-09 00:00:00,1,0.0,0.0,0.0,0,6,1
2-39-123-23,2018-09-09 16:00:00,1,0.0,0.0,0.0,16,6,1
2-39-123-23,2018-09-09 21:00:00,1,0.0,0.0,0.0,21,6,1
2-39-123-23,2018-09-10 14:00:00,1,0.0,0.0,0.0,14,0,0
2-39-123-23,2018-09-10 19:00:00,1,0.0,0.0,0.0,19,0,0
2-39-123-23,2018-09-10 23:00:00,1,0.0,0.0,0.0,23,0,0
2-39-123-23,2018-09-11 00:00:00,1,0.0,0.0,0.0,0,1,0
2-39-123-23,2018-09-11 15:00:00,1,0.0,0.0,0.0,15,1,0
2-39-123-23,2018-09-11 22:00:00,1,0.0,0.0,0.0,22,1,0
2-39-123-23,2018-09-12 15:00:00,1,0.0,0.0,0.0,15,2,0
2-39-123-23,2018-09-12 16:00:00,1,0.0,0.0,0.0,16,2,0
2-39-123-23,2018-09-12 22:00:00,1,0.0,0.0,0.0,22,2,0
2-39-123-23,2018-09-13 02:00:00,1,0.0,0.0,0.0,2,3,0
2-39-123-23,2018-09-13 14:00:00,1,0.0,0.0,0.0,14,3,0
2-39-123-23,2018-09-14 01:00:00,1,0.0,0.0,0.0,1,4,0
2-39-123-23,2018-09-14 03:00:00,2,0.0,0.0,0.0,3,4,0
2-39-123-23,2018-09-14 14:00:00,1,0.0,0.0,0.0,14,4,0
2-39-123-23,2018-09-15 12:00:00,1,0.0,0.0,0.0,12,5,1
2-39-123-23,2018-09-15 16:00:00,1,0.0,0.0,0.0,16,5,1
2-39-123-23,2018-09-15 18:00:00,1,0.0,0.0,0.0,18,5,1
2-39-123-23,2018-09-16 19:00:00,1,0.0,0.0,0.0,19,6,1
